,move_direct,next_loc,route_type,source_loc
0,d,"(3, 6)",forward,"(2, 6)"
1,u,"(2, 6)",backward,"(3, 6)"
2,r,"(2, 7)",forward,"(2, 6)"
3,l,"(2, 6)",backward,"(2, 7)"
4,d,"(3, 6)",backward,"(2, 6)"
5,l,"(3, 5)",forward,"(3, 6)"
6,r,"(3, 6)",backward,"(3, 5)"
7,u,"(2, 6)",backward,"(3, 6)"
8,r,"(2, 7)",backward,"(2, 6)"
9,u,"(1, 7)",forward,"(2, 7)"
10,d,"(2, 7)",backward,"(1, 7)"
11,l,"(2, 6)",backward,"(2, 7)"
12,d,"(3, 6)",backward,"(2, 6)"
13,l,"(3, 5)",backward,"(3, 6)"
14,u,"(2, 6)",backward,"(3, 6)"
15,d,"(4, 5)",forward,"(3, 5)"
16,u,"(3, 5)",backward,"(4, 5)"
17,r,"(3, 6)",backward,"(3, 5)"
18,u,"(2, 6)",backward,"(3, 6)"
19,r,"(2, 7)",backward,"(2, 6)"
20,u,"(1, 7)",backward,"(2, 7)"
21,r,"(1, 8)",forward,"(1, 7)"
22,l,"(1, 7)",backward,"(1, 8)"
23,d,"(2, 7)",backward,"(1, 7)"
24,l,"(2, 6)",backward,"(2, 7)"
25,d,"(3, 6)",backward,"(2, 6)"
26,l,"(3, 5)",backward,"(3, 6)"
27,u,"(2, 6)",backward,"(3, 6)"
28,d,"(4, 5)",backward,"(3, 5)"
29,l,"(4, 4)",forward,"(4, 5)"
30,r,"(4, 5)",backward,"(4, 4)"
31,u,"(3, 5)",backward,"(4, 5)"
32,r,"(3, 6)",backward,"(3, 5)"
33,u,"(2, 6)",backward,"(3, 6)"
34,r,"(2, 7)",backward,"(2, 6)"
35,u,"(1, 7)",backward,"(2, 7)"
36,r,"(1, 8)",backward,"(1, 7)"
37,u,"(0, 8)",forward,"(1, 8)"
38,d,"(1, 8)",backward,"(0, 8)"
39,l,"(1, 7)",backward,"(1, 8)"
40,d,"(2, 7)",backward,"(1, 7)"
41,l,"(2, 6)",backward,"(2, 7)"
42,d,"(3, 6)",backward,"(2, 6)"
43,l,"(3, 5)",backward,"(3, 6)"
44,u,"(2, 6)",backward,"(3, 6)"
45,d,"(4, 5)",backward,"(3, 5)"
46,l,"(4, 4)",backward,"(4, 5)"
47,l,"(4, 3)",forward,"(4, 4)"
48,r,"(4, 4)",backward,"(4, 3)"
49,r,"(4, 5)",backward,"(4, 4)"
50,u,"(3, 5)",backward,"(4, 5)"
51,r,"(3, 6)",backward,"(3, 5)"
52,u,"(2, 6)",backward,"(3, 6)"
53,r,"(2, 7)",backward,"(2, 6)"
54,u,"(1, 7)",backward,"(2, 7)"
55,r,"(1, 8)",backward,"(1, 7)"
56,u,"(0, 8)",backward,"(1, 8)"
57,l,"(4, 3)",backward,"(4, 4)"
58,r,"(4, 5)",backward,"(4, 4)"
59,u,"(3, 3)",forward,"(4, 3)"
60,u,"(3, 3)",backward,"(4, 3)"
61,r,"(4, 4)",backward,"(4, 3)"
62,l,"(3, 2)",forward,"(3, 3)"
63,u,"(2, 2)",forward,"(3, 2)"
64,l,"(2, 1)",forward,"(2, 2)"
65,u,"(1, 1)",forward,"(2, 1)"
66,l,"(1, 0)",forward,"(1, 1)"
67,u,"(0, 0)",forward,"(1, 0)"
